"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2021-04-19T12:48:08.495+03:00","0.0","7.04"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2021-04-19T12:48:00.544+03:00","0.0","7.68"
